Review	Label
긴급 재난 금 카드사용을 어떻게 하는 건지 얼마나 남았는지 알 수 있나요	8
재난 지원금을 사용할 수 없는 곳에서 사용하면 차감이 안되고 카드사용으로 처리되는지요	8
만족합니다[SEP]감사합니다	16
수고 감사 합 니다	16
타회사와 상담 사 연결이 빨라서 좋았어요[SEP]감사합니다	16
삼성카드 잘하고 게 십니다	15
만족함다	16
수고 많으시고 감사합니다	16
감사할 뿐입니다[SEP]수고하세요	16
항상 수고가 많으시고 감사 합니다	16
메우 만족함	16
만족했어요	16
수고하세요	16
역시 삼성	15
감사하고 만족합니다	16
만족도가 매우 낮음	16
현재시스템에 만족합니다	16
항상 친절에 감사 드립니다	1
상담원 OOO 님인가 존나 친절하십니다	1
카드 재발급의 경우 맵도 헷깔리고 없다 너무 불편하고	9
무뚝뚝하고 차가워 질문하고 싶은 게 더 있는데 일부러 방어적 말투로 느껴져 멎칫 멈칫하데[SEP]됨 불친절하다는 느낌 받음	1
너무 친절 하십니다[SEP]감사합니다	1
친절 하심	1
친절함 감사합니다	1
같은 말을 해야 할 당시에 말투에 짜증 가득 함 어이 없고 너무 기분 상함 고객이 말할 틈을 안주고 말이 겹치는데 자기 말을 먼저 하려하고 멈추지 않음 결국 내 말 먼저 들으라[SEP]고 얘기하는데 대답도 안함	1
앱에서 결제계좌 인증 방식이 공인 인증서 뿐이네요[SEP]다른 인증법도 가능했으면 좋겠습니다	9
기존 사용하는 카드의 혜택을 알고 다시 활용하기 위해 전화했으나 응대태도 불친절 스마트한 답변은 좋으나 이해 불가능광고 안내만 착실하게 진행함 상담 받고 싶은 내용에 대한 이해는 어려웠지만 삼성카드 광고 안내는 받아야 하는 불편한 진실 같은 느낌 이였습니다	1
그런 거 전혀 없고 ars 앱으로 연결되는 거 폐지 해 라 전화 버튼이 편하지 그딴 서비스 불편하기만 하다	9
모든 상담원이 천천히 말하면 더 이해가 잘됩니다	1
상담 시 친절하게 응대해 주어 고맙습니다	1
5번 예문 답변 중 원칙상 확인처리 불가능이라는 말을 들을 때 고객입장에서 볼 때 불편 하다는 말씀 드리고 싶네요	1
상담 직원에 항상 친절하고 감사합니다	1
대제로 친절하다	1
보면서 하는 디지털 상담 왜 있는지 모를 정도로 불편만 하네요	9
사람 말 다하고 말해 주셧으면 좋겟어요	1
친절하게 설명을 해 주셔서 감사합니다	1
매우 만족했어요	16
설명을 쫌 더 쉅 게 해 주셨으면 합니다	1
친절하게 상담해 줘서 감사해요	1
신속하고 친절한 상담 감사합니다	1
상담 목소리가 너무 친절하고 좋았다	1
대체로 만족함	16
상담 사가 친절합니다	1
친절 감사	1
OOO 상담 사님께서 친절하고 신속하게 상담해 주셔서 너무 좋았습니다	1
상담원이 너무 친절했습니다	1
아주 만족하고 있습니다	16
답변이 정확하지 가 않아요[SEP]일관련해서 잘 모르시는 거 같았습니다	1
상담자님에 말씀이 너무 빨라서 알아들을 수가 없었습니다[SEP]그리고 고객이 먼저 상담할 내용을 이야기하는 도중 증간에 말을 끊는 경우가 있습니다[SEP]위 점들을 수정해 주셨으면 강 사하겠습니다	1
친절한 안내 감사합니다	1
전반적으로 만족하여 이 뉴가 없습니다	16
친전한 상담감사합니다	1
항상 친절하게 상담해 주셔서 감사합니다	1
5번 질문에 불편함이 없었는데 체크할 수밖에 없어서 저기 체크했습니다	1
친절한 상담 정말 감사합니다	1
친절하다	1
상담 사분이 친절하십니다	1
화면이 나이 많은 사람에게는 까다로움	9
궁금한 내용에 몰라서 답변을 못하는 경우 답답할 때가 있죠[SEP]여성고객에는 남자 상담원이 좋을 것 같네요	1
문자로 보는 서비스가 너무 번거롭다 선택지를 안 준다 상담 사와의 바로 연결이 필요한 데 그 과정이 너무 복잡하다	9
수고 하세 여	16
물론 상담업무가 힘든지는 아는데 조금만 더 친절했으면 좋겠다	1
친절하셔요	1
디지털 ars 불편해요[SEP]그냥 바로 음성으로 하구 싶어요	9
상담 사가 친절합니다	1
OOO 직원께서 친절하게 상담해 주셨습니다	1
상담 사본인 몸 불편해서 상담하기 어려운 상황 그런 직원은 그날은 쉬게 했어[SEP]면 좋겠네요[SEP]상담한다고 앉아 고객한테 시원한 답변도 못 받고 급하게 빨 리끊 을려 고만하는 모습이 그대로 보여요	1
OOO 씨 너무 친절하시네요	1
상담 사분들이 너무 친절해서 만족함	1
친절하게 해 주셔서 감사 드려요	1
말하는 속도와 전문용어에 이해가 어려울 때가 많이 있읍니다	1
대체로 만족합니다	16
완벽함	16
전화 시 상담 사 연결 멘트 앞에 있으면 좋겠다	9
설명을 알아듣기 쉽기 해 줬으면 좋겠다 내가 말한 의도에 맞는 정확한 답을 듣고 싶다	1
상담 사 매우 불친절함 카드 사용 안하고 싶음	1
ARS의 대기 시간을 최대한 줄여 주면 좋겠음	2
갈수록 진 절이 없네요[SEP]따른 사항을 이야기	1
상담원이 고객이 말하는 걸 이해를 못하고 두 번 씩 새롭게 말을 해야 알아들음	1
모든 게 만족합니다[SEP]6	16
상담원이 고객의 말을 잘 못 알아듣고 화를 삭히는 느낌을 받았다 충분한 설명을 해 주지 않고 대뜸 개인정보를 물어서 당황스럽다	1
상담에 대한 의견은 아니지만 해외 결제가 저의 의지와 상관없이 시도 됩니다[SEP]물론 해외 결제 보안 팀에서 도용과 관련하여 업무처리를 하고 있지만 똑같은 카드를 3 번째 발급 받은 상황입니다[SEP]이 문제를 해결해 주셨으면 합니다[SEP]만약 3 번째 카드에서도 저의 의지와 상관없이 결제가 이루어진다면 카드를 해지해야겠다고 생각하고 있습니다	9
영업하시는 건 좋은데 싫다고[SEP]하거나 통화거부하면 전화 좀 그만 주세요 받으면 끊으시고 2 차례 그러다가 운전하면서 사고 났습니다[SEP]애꿏은 상담원 분한테 괜히 화가 나서 미안합니다	13
기계적 응답으로 불쾌함	1
상담원과 통화 대기 시간이 너무 길다	2
현재 만족함	16
만족도 조사 그만 좀 했으면 합니다	1
서비스 만족	16
친절하고 좋았읍니다	1
통화 시 형식적인 친절함이 느껴지네요[SEP]물론 하루종일 고객 상대하기가 힘들 긴하겠지만 너무 로봇 같네요	1
친절하게 상담하였다	1
어느 카드사보다 빨라서 좋아요[SEP]그냥 굿	15
상담원 분들이 너무 친절하시고 빠른 답변에 매우 만족합니다	1
SKT에 비해 상세한 설명이나 문의 내용에 대한 답변이 부족하였고 이해가 잘 안되어 반복적인 질문이 되었는지는 모르겠지만 좀 귀찮아 하는 말투로 느께[SEP]져 궁금한 사항이 있었으나 더 이상 문의하지 못하고 통화를 종료하게 되었다	1
친절 신속상담 좋았습니다	1
최초 연결시 ai ars 연결 권유 없이 빨리 연결되면 좋겠어요	9
수고많으심니다	16
직원 분이 친절하게 잘 설명해 주시네요[SEP]감사합니다	1
상담 사와 통화 히 기가 너무 어렵다 기다리는 대기 시간이 너무 길다	2
조금 더 자세한 설명이 추가 되면 좋겠다	1
상담원 분들 항상 친절하세요	1
상담원 전화 연결이 될 때까지 대기 시간이 많이 길다	2
보이스 피 싱 신고 전화를 하는 데 후 차적인 사고 예방은 전혀 고려하지 않는 형식적인 응대방식을 개선했으면 합니다	9
통화 대기 짧았으면 합니다	2
삼성 은 언제나 좋아요	15
빠른 통화 상담원 연결	2
빠른 연결감사	2
OOO 상담원님 친절하게 해 주세요	1
친절하게 상담해 주셔서 감사합니다	1
삼성이 최고예요	15
상담원과 통화시 대기 시간이 너무 길다	2
친절하고 신속한 응대 만족합니다	1
친절 만족 상담원님	1
늘 감사하고 친절해서 좋읍니다	1
친절하셔서 감사합니다	1
통화가 빨리 연결되었으면 좋게 습니다	2
너무너무 친절해요	1
완벽함	16
친절했읍니다	1
OOO 상담 사님 친절만 상담 정말 감사 드립니다	1
충분히 만족한다	16
친절하여서 기분이좋씁니다	1
친절하게 잘 설명해 주셔서 감사합니다	1
디지털 ars는 생각보다 불편하네요[SEP]원하는 질문 항목이 없을 시 찾는 것이 어렵습니다	9
친절한 상담에 감사 드립 니다 수고하세요	1
만족합니다	16
